Genus_Species	Sex	brain_mass	body_mass
Gallinula_chloropus	f	1.95333E+14	2.85517E+14
Gallinula_chloropus	m	1.97633E+14	3.41613E+14
Gallinula_chloropus	unknown	221	3526
Gallirallus_philippensis	f	19	172
Gallus_gallus	m	2.56167E+14	9.39333E+14
Gallus_lafayetii	f	2475	383968
Gallus_lafayetii	m	3314	695
Gallus_sonneratii	f	2735	3911755
Gallus_sonneratii	m	3615	915
Garrulax_cineraceus	f	17	426
Garrulax_formosus	f	1966	73744
Garrulax_leucolophus	f	23	1174
Garrulax_milnei	f	161	5835
Garrulus_glandarius	f	3.86663E+14	1.62959E+14
Garrulus_glandarius	m	4.01867E+14	1.71933E+14
Gavia_pacifica	m	686	2345
Gavia_stellata	f	5564	1332
Gavia_stellata	m	571	1.70267E+14
Geopelia_cuneata	m	561	36988
Geopelia_striata	m	75	481
Gracula_religiosa	m	304	16535275
Gracula_religiosa	unknown	25	1807
Grus_canadensis	m	858	1651
Guaruba_guarouba	f	7774	243026
Guaruba_guarouba	m	72705	2219985
Gubernatrix_cristata	f	118	528
Gubernatrix_cristata	m	1.25333E+14	3055
Gyps_africanus	f	196	5270
Gyps_fulvus	unknown	2285	9750
Haematopus_ostralegus	f	3.87733E+14	4.70718E+14
Haematopus_ostralegus	m	3831	4.69036E+14
Halcyon_leucocephala	m	9	363
Halcyon_malimbica	f	13	818
Haliaeetus_vocifer	f	1293	3500
Heterophasia_capistrata	m	122	512
Heteroscelus_brevipes	f	126	12392
Heteroscelus_incanus	m	1308	87731
Himantopus_himantopus	f	182	1345
Hippolais_icterina	f	4.58667E+14	15708
Hippolais_icterina	m	4.77571E+14	1.29714E+14
Hirundo_rustica	f	4.95429E+14	1.72098E+14
Hirundo_rustica	m	5.25034E+14	1.62214E+14
Histrionicus_histrionicus	m	4636	635
Hydrobates_leucorrhoa	m	8	302
Hydrobates_pelagicus	f	58	2249
Hylocichla_mustelina	m	1168	33678
Hymenops_perspicillatus	m	7.33333E+14	23
Hypargos_niveoguttatus	f	5.29722E+14	9.66389E+14
Hypargos_niveoguttatus	m	5.71026E+14	9.83897E+14
Hypergerus_atriceps	m	92	247
Hypsipetes_madagascariensis	m	11	456
Icterus_gularis	m	177	46732
Irania_gutturalis	m	65	2548
Irena_puella	f	116	61225
Irena_puella	m	1115	5305
Jacana_jacana	f	1146	99683
Junco_hyemalis	f	755	1896
Junco_hyemalis	m	736	16461
Junco_hyemalis	unknown	86	177
Jynx_torquilla	f	216	35525
Jynx_torquilla	m	834625	390565
Lagonosticta_larvata	m	425	8155
Lagonosticta_rubricata	m	37	705
Lagonosticta_senegala	m	395	7025
Lagopus_lagopus	f	24926	5745
Lagopus_lagopus	m	2.63967E+14	6.27317E+14
Lagopus_lagopus	unknown	265	6273
Lagopus_muta	f	2331	457482
Lagopus_muta	m	2178	519
Lamprotornis_chalybaeus	f	14	553
Lamprotornis_purpureus	f	17	66
Lamprotornis_purpureus	m	1746	898515
Lamprotornis_superbus	f	171725	4728575
Lamprotornis_superbus	m	186	4.95886E+14
Lanius_collurio	m	9.15333E+14	2.68433E+14
Lanius_collurio	unknown	238	64
Lanius_cristatus	f	97	311
Lanius_excubitor	f	158	6405
Lanius_meridionalis	m	138	552
Larus_argentatus	f	55785	5285
Larus_argentatus	unknown	708	1.02433E+14
Larus_cachinnans	f	6202	780
Larus_cachinnans	m	6126	9925
Larus_canus	f	405575	328906
Larus_canus	m	422925	42665025
Larus_delawarensis	f	872	720
Larus_fuscus	f	5064	555
Larus_fuscus	m	57985	6815
Larus_marinus	f	6.59967E+14	1.43667E+14
Larus_marinus	m	7.63933E+14	1.69333E+14
Larus_minutus	f	1414	80731
Larus_philadelphia	m	249	205
Larus_ridibundus	f	2.74846E+14	2.39273E+14
Larus_ridibundus	m	2.92767E+14	2.27012E+14
Laterallus_leucopyrrhus	f	95	31
Laterallus_leucopyrrhus	m	88	397
Lathamus_discolor	f	2155	7365
Lathamus_discolor	m	2.45667E+14	6.08667E+14
Leiothrix_argentauris	f	923	264325
Leiothrix_argentauris	m	1.03667E+14	2.32556E+14
Leiothrix_lutea	m	798	19481
Leiothrix_lutea	unknown	107	164
Leptoptilos_crumeniferus	m	3014	7130
Lessonia_rufa	f	5	156
Lessonia_rufa	m	4.13333E+14	144
Leucopsar_rothschildi	f	181	873
Leucosticte_arctoa	m	879	25932
Limosa_haemastica	f	235	2395
Limosa_lapponica	f	2547	1985
Limosa_lapponica	unknown	234	1973
Linurgus_olivaceus	m	767	19129
Locustella_naevia	m	6	148
Lonchura_bicolor	f	46	967
Lonchura_bicolor	m	41	97
Lonchura_cantans	m	45	92
Lonchura_castaneothorax	m	5575	106575
Lonchura_cucullata	f	319	8396
Lonchura_flaviprymna	f	45	107
Lonchura_flaviprymna	m	403	12646
Lonchura_fringilloides	m	63	201
Lonchura_fuscans	m	4605	932
Lonchura_grandis	f	67	1745
Lonchura_grandis	m	66	168
Lonchura_griseicapilla	m	47	162
Lonchura_kelaarti	m	62	161
Lonchura_leucogastra	m	5	118
Lonchura_leucogastroides	f	457	12372
Lonchura_maja	m	511	11706
Lonchura_malacca	m	512	9.80067E+14
Lonchura_molucca	f	4.02667E+14	9.28167E+14
Lonchura_molucca	m	424	8941
Lonchura_nana	m	45	58
Lonchura_nevermanni	m	5	99
Lonchura_pallida	f	56	10758
Lonchura_pallida	m	461	11576
Lonchura_punctulata	f	505	13167
Lonchura_punctulata	m	4785	15243
Lonchura_quinticolor	f	55	12
Lonchura_quinticolor	m	6	108
Lonchura_sp.	f	54	955
Lonchura_spectabilis	f	47	78
Lonchura_spectabilis	m	5	795
Lonchura_teerinki	m	53	14082
Lonchura_tristissima	f	46	73
Lonchura_tristissima	m	52	67
Lophophorus_impejanus	f	5911	1150
Lophophorus_impejanus	m	59755	15875
Lophophorus_sclateri	m	735	2765
Lophospingus_pusillus	m	91	125
Lophura_diardi	m	3576	82825
Lophura_edwardsi	m	352425	935
Lophura_hatinhensis	f	3566	650
Lophura_ignita	f	391	1190
Lophura_ignita	m	46046	1416
Lophura_imperialis	m	3249	705
Lophura_inornata	m	36055	915
Lophura_nycthemera	f	36495	930
Lophura_nycthemera	m	398	9.73333E+14
Lophura_swinhoii	f	3302	614
Loriculus_galgulus	m	14705	269725
Loriculus_vernalis	f	95	2222
Loriculus_vernalis	m	138	262
Lorius_garrulus	m	4518	23882
Lorius_lory	m	5119	220332
Loxia_curvirostra	f	1153	204395
Loxia_curvirostra	m	1.34558E+14	33602
Luscinia_calliope	m	7	2155
Luscinia_cyane	f	443	11812
Luscinia_cyane	m	4405	1.21292E+14
Luscinia_luscinia	m	75	255
Luscinia_megarhynchos	f	662	15128
Lybius_dubius	m	199	863
Lymnocryptes_minimus	m	9.01667E+14	5.84093E+14
Mandingoa_nitidula	f	58	902
Mandingoa_nitidula	m	457	10799
Margaroperdix_madagascariensis	m	134	1182
Megaceryle_alcyon	m	2384	166486
Megalaima_asiatica	f	15	842
Megalaima_asiatica	m	178	1136
Megalaima_haemacephala	m	97	272
Megalaima_haemacephala	unknown	79	44292
Megalaima_lineata	m	174	1018
Megalaima_oorti	f	135	4658
Megalaima_virens	f	2153	172469
Megascops_asio	m	56	1298
Melanerpes_carolinus	f	2185	74
Melanitta_fusca	m	679	1525
Melanitta_nigra	m	5.77786E+14	9.82857E+14
Melanocorypha_mongolica	f	925	49675
Melanocorypha_mongolica	m	1249	54862
Melithreptus_albogularis	m	779	22172
Melopsittacus_undulatus	unknown	1.20667E+14	2.15667E+14
Melospiza_melodia	f	11	21
Melospiza_melodia	m	88	215
Mergus_merganser	f	6325	1285
Mergus_merganser	m	7229	1.60414E+14
Mergus_serrator	f	54795	738
Mergus_serrator	m	5163	11659
Merops_apiaster	f	732	55579
Merops_apiaster	m	842	57244
Merops_pusillus	f	45	102
Mesophoyx_intermedia	m	47	525
Miliaria_calandra	f	1149	53314
Miliaria_calandra	m	1.19933E+14	56187
Milvus_milvus	m	73	895
Mimus_polyglottos	m	1.36117E+14	3.18207E+14
Mimus_polyglottos	unknown	143	5175
Minla_cyanouroptera	f	63	122
Minla_ignotincta	m	6865	11763
Mino_anais	m	22	14708
Mino_dumontii	f	315	120
Mino_dumontii	m	2784	217468
Mirafra_assamica	m	88	29
Molothrus_ater	f	2693	66
Molothrus_bonariensis	m	128	372
Motacilla_alba	f	527	19053
