"Genus_Species","Sex","brain_mass","body_mass"
"Chalcopsitta_duivenbodei","m",5.28,181.3
"Chalcopsitta_sintillata","f",4.581,145.007
"Charadrius_alexandrinus","m",0.893,37.294
"Charadrius_dubius","f",0.732,41.522
"Charadrius_dubius","m",0.824,39.276
"Charadrius_leschenaultii","f",1.235,78.425
"Charadrius_semipalmatus","f",0.8025,36.1125
"Charadrius_vociferus","unknown",1.22,88
"Charmosyna_papou","f",2.97,71.5
"Chloropsis_cochinchinensis","f",0.89,22.6
"Chloropsis_cyanopogon","m",0.68,16.5
"Chloropsis_hardwickii","m",0.8,26.3
"Chloropsis_sp.","f",0.72,21.2
"Chrysolophus_amherstiae","m",3.62966666666667,743.666666666667
"Chrysolophus_pictus","f",3.136,342.334
"Chrysolophus_pictus","m",3.36666666666667,686.533333333333
"Ciconia_abdimii","m",7.3,950
"Ciconia_ciconia","f",15.78,3334
"Ciconia_ciconia","m",15.2653333333333,3253.33333333333
"Cinclidium_leucurum","m",0.6375,22.24
"Cinclus_cinclus","f",1.3895,54.625
"Cinclus_cinclus","m",0.92,72
"Cinnyricinclus_leucogaster","f",0.896,27.58
"Cinnyricinclus_leucogaster","m",0.904,33.986
"Circus_aeruginosus","f",5.347,335
"Circus_aeruginosus","m",5.786,542.5
"Cissa_chinensis","m",4.2,115.7
"Cissa_thalassina","f",3.5,86.6
"Clangula_hyemalis","m",4.5936,773.66
"Coccothraustes_coccothraustes","f",1.5678,55.5062
"Coccothraustes_coccothraustes","m",1.60824,54.06244
"Coccycolius_iris","f",1.324,30.52
"Coereba_flaveola","m",0.473333333333333,9.52
"Colaptes_campestris","m",3.67,182.4
"Colaptes_melanochloros","f",2.7,119.1
"Colibri_thalassinus","m",0.19,5.48
"Colinus_cristatus","f",1,122.7
"Colinus_virginianus","f",1.241,120.1
"Colinus_virginianus","m",1.1877,117.7971
"Colinus_virginianus","unknown",1.2,143.816666666667
"Colius_striatus","m",1.1475,53.525
"Columba_livia","f",2.285,247
"Columba_livia","m",2.351,272.435
"Columba_oenas","f",2.146,222.409
"Columba_oenas","m",2.266,340.261
"Columba_palumbus","f",2.3575,402.530333333333
"Columba_palumbus","m",2.486125,499.545125
"Columbina_cruziana","f",0.52,49.7
"Columbina_passerina","m",0.54,42.4
"Copsychus_malabaricus","m",0.765,24.2466666666667
"Copsychus_malabaricus","unknown",0.9,19.6
"Coracias_caudatus","f",2.65,83.5
"Coracias_caudatus","m",2.338,110.473
"Coracopsis_nigra","m",4.85,113.7
"Corvus_brachyrhynchos","f",6.199,255.2935
"Corvus_brachyrhynchos","m",9.3,337
"Corvus_brachyrhynchos","unknown",8.225,375.533333333333
"Corvus_corax","f",13.3933333333333,1136.66666666667
"Corvus_corax","m",15.8614,1393
"Corvus_corone","f",8.25676470588235,494.464705882353
"Corvus_corone","m",8.82216666666667,576.533333333333
"Corvus_frugilegus","f",7.488,481.029333333333
"Corvus_frugilegus","m",8.248,574.25
"Corvus_monedula","f",4.236125,189.685375
"Corvus_monedula","m",4.79085714285714,236.332
"Corvus_monedula","unknown",5.35,147
"Coryphospingus_cucullatus","f",0.602,14.887
"Coryphospingus_cucullatus","m",0.654,12.5315
"Corythaixoides_leucogaster","m",3.091,262.36
"Cossypha_niveicapilla","m",0.95,31.8
"Coturnix_chinensis","unknown",0.42,37
"Coturnix_coturnix","f",0.88,120.7
"Coturnix_delegorguei","f",0.62,62.363
"Crex_crex","f",1.154,137.396
"Crex_crex","m",1.26,133.8
"Crinifer_piscator","f",4.23,346.2
"Crossoptilon_crossoptilon","f",5.238,1820
"Crossoptilon_mantchuricum","f",5.164,1700
"Crotophaga_ani","f",1.458,73.095
"Cryptospiza_reichenovii","m",0.589333333333333,10.933
"Crypturellus_parvirostris","f",1.65,179.7
"Crypturellus_tataupa","m",1.25,215
"Cuculus_canorus","f",1.421,92.5295
"Cuculus_canorus","m",1.5,118.633333333333
"Cyanerpes_caeruleus","f",0.468,10.05
"Cyanerpes_caeruleus","m",0.48,9.4
"Cyanerpes_cyaneus","m",0.4445,10.605
"Cyanocitta_cristata","unknown",3,77.7
"Cyanocorax_beecheii","m",3.219,130.83
"Cyanocorax_luxuosus","unknown",2.4,52.25
"Cyanocorax_yncas","m",2.3795,56.0955
"Cyanoliseus_patagonus","f",7.5,226.3
"Cyanopica_cyanus","f",2.06,67.6
"Cyanoramphus_auriceps","m",2.865,49.775
"Cyanoramphus_novaezelandiae","m",2.86,65.4
"Cyclopsitta_diophthalma","m",1.939,36.337
"Cygnus_columbianus","f",17.75,6000
"Cygnus_columbianus","m",17.896,5000
"Cygnus_olor","m",15.432,9000
"Cygnus_olor","unknown",14.5,5528.25
"Cyornis_hainanus","m",0.68,29.8
"Dacelo_novaeguineae","f",4.3035,339.5
"Dacelo_novaeguineae","m",4.1005,374.837
"Dacelo_novaeguineae","unknown",4.47,210
"Dacnis_cayana","f",0.52,12.95
"Dacnis_cayana","m",0.39,13.3
"Delichon_urbicum","m",0.582,18.1206666666667
"Dendrocopos_macei","m",1.656,36.467
"Dendrocopos_major","f",2.62288888888889,83.4334444444444
"Dendrocopos_major","m",2.75986666666667,81.2194
"Dendrocopos_medius","m",1.79,56.062
"Dendrocygna_bicolor","m",4.737,487.5
"Dendroica_coronata","f",0.468,12.392
"Dendroica_coronata","m",0.498,12.472
"Deroptyus_accipitrinus","m",8.9,232.6
"Dicrurus_macrocercus","f",0.99,30.6
"Dinemellia_dinemelli","f",1.42,44.7
"Dinemellia_dinemelli","m",2.05,61.3
"Dinopium_javanense","f",2.3,57.5
"Diopsittaca_nobilis","f",5.078,118.873
"Dryocopus_martius","f",7.34,279.6
"Dumetella_carolinensis","f",1.412,33
"Eclectus_roratus","f",6.8645,385.1045
"Eclectus_roratus","m",7.791,352.492
"Egretta_caerulea","unknown",3.74,289.75
"Egretta_tricolor","unknown",3.45,324.5
"Emberiza_aureola","m",0.71,17.12
"Emberiza_cioides","m",0.632,17.685
"Emberiza_cirlus","m",0.733,16.653
"Emberiza_citrinella","f",0.760863636363636,28.1159090909091
"Emberiza_citrinella","m",0.771333333333333,27.9796212121212
"Emberiza_elegans","m",0.65,11.3
"Emberiza_flaviventris","m",0.59,16.212
"Emberiza_flaviventris","unknown",0.49,14.664
"Emberiza_melanocephala","m",0.731,26.661
"Emberiza_rutila","f",0.491,18.623
"Emberiza_rutila","m",0.56,15.8
"Emberiza_schoeniclus","f",0.75,20.1
"Emberiza_schoeniclus","m",0.645,20.8
"Emberiza_tristrami","f",0.6,13.335
"Embernagra_platensis","f",1.116,29.281
"Embernagra_platensis","m",1.03,29.1
"Emblema_pictum","f",0.4165,12.274
"Enicognathus_ferrugineus","m",5.08,100.2
"Enicognathus_leptorhynchus","f",6.2,236.7
"Enicognathus_leptorhynchus","m",7.9,223.2
"Eos_cyanogenia","m",4.607,144.876
"Eos_squamata","m",4.17,112.5
"Eremophila_bilopha","m",0.93,24.4
"Eremopsaltria_mongolicus","m",0.666,17.45
"Erithacus_rubecula","f",0.576176470588235,17.4284117647059
"Erithacus_rubecula","m",0.617038461538462,17.6752307692308
"Erithacus_rubecula","unknown",0.6948,15.3452
"Erpornis_zantholeuca","m",0.455,13.783
"Erythrura_coloria","m",0.45,11.7
"Erythrura_gouldiae","f",0.436333333333333,12.3543333333333
"Erythrura_gouldiae","m",0.464,12.7635714285714
"Erythrura_hyperythra","m",0.4,13.05
"Erythrura_prasina","m",0.583333333333333,14.4406666666667
"Erythrura_psittacea","m",0.502,10.916
"Estrilda_caerulescens","f",0.41,7.1
"Estrilda_melanotis","m",0.38,4.9
"Estrilda_troglodytes","f",0.35,5.3
"Eumyias_thalassinus","m",0.5445,11.3505
"Eunymphicus_cornutus","f",2.886,66.218
"Euplectes_afer","m",0.677,12.811
"Euplectes_franciscanus","m",0.669428571428571,11.934
"Euplectes_macroura","m",1.8,17
"Euschistospiza_dybowskii","m",0.496666666666667,9.80366666666667
"Falco_columbarius","f",3.288,224.745
"Falco_peregrinus","f",6.788,989
"Falco_sparverius","m",2.51,112
"Falco_sparverius","unknown",2.75,75
"Falco_tinnunculus","f",3.76761538461538,209.366076923077
"Falco_tinnunculus","m",3.80526086956522,169.672869565217
"Falco_tinnunculus","unknown",3.71166666666667,224.349666666667
"Ficedula_hypoleuca","f",0.4255,13.848
"Ficedula_hypoleuca","m",0.4266,12.5212
"Ficedula_zanthopygia","m",0.484,8.7805
"Forpus_coelestis","f",1.198,27.809
"Forpus_coelestis","m",1.124,21.938
"Forpus_conspicillatus","m",1.1,20.55
"Forpus_cyanopygius","f",1.38,13.8
"Forpus_passerinus","f",1,26.3
"Forpus_passerinus","m",1.03,21.4
"Forpus_xanthops","m",1.3,20.7
"Forpus_xanthopterygius","m",1.015,25.65
"Francolinus_sephaena","m",1.5,208
"Fratercula_arctica","f",4.2,318.5
"Fratercula_arctica","m",3.725,384
"Fregata_aquila","m",9.45,1405
"Fringilla_coelebs","f",0.701774193548387,22.9852580645161
"Fringilla_coelebs","m",0.742174418604651,24.1739651162791
"Fringilla_montifringilla","f",0.749571428571429,24.2951428571429
"Fringilla_montifringilla","m",0.7532,25.9895333333333
"Fringilla_montifringilla","unknown",0.597,25.9855
"Fulica_atra","f",3.0286,583.8008
"Fulica_atra","m",3.43616666666667,733.5
"Fulmarus_glacialis","m",5.639,590
"Furnarius_rufus","f",1.3,62.5
"Furnarius_rufus","m",1.35,63.7
"Galerida_cristata","f",1.007,42.593
"Galerida_cristata","m",1.115,41.9
"Galerida_theklae","m",0.92,35.1
"Gallicolumba_rufigula","f",1.132,83.25
"Gallinago_gallinago","f",14.3011,113.7957
"Gallinago_gallinago","m",1.245,96.85
"Gallinago_media","f",1.758,138.621
"Gallinula_chloropus","f",1.95333333333333,285.516666666667
"Gallinula_chloropus","m",1.97633333333333,341.613333333333
"Gallinula_chloropus","unknown",2.21,352.6
"Gallirallus_philippensis","f",1.9,172
"Gallus_gallus","m",2.56166666666667,939.333333333333
"Gallus_lafayetii","f",2.475,383.968
"Gallus_lafayetii","m",3.314,695
"Gallus_sonneratii","f",2.735,391.1755
"Gallus_sonneratii","m",3.615,915
