"pop","patch","ASD","GAD","GSD","LBL","LBW","UBL","UBW","GW","GA"
"S20","1",6.27,7.05,4.91,24.16,22.95,22.98,21.2,8.33,33.8198
"S20","1",7.5,7.37,5.64,20.86,19.9,22.05,20.46,7.79,33.1075
"S20","1",NA,NA,4.8,24.98,22.19,23.11,21.44,8.98,37.6262
"S20","1",6.4,5.89,3.59,20.64,19.29,19.54,19.38,7.96,30.1684
"S20","1",6.87,5.9,5.02333333333333,24.24,22.75,23.67,20.92,8.25,34.4025
"S20","1",8.36,7.29,4.69,26.14,24.14,25.15,24.33,9.82,48.9527
"S20","1",8.15,6.98,4.40666666666667,24.95,23.4,22.14,21.88,9.4,44.556
"S20","2",4.37,6.05,4.61666666666667,23.24,21.92,23.88,22.25,7.66,28.6101
"S8","10",5.41,5.76,4.81,23.8,25.15,23.25,24.75,7.54,27.0309
"S8","10",5.72,5.49,4.90333333333333,23.48,22.43,22.19,22.01,8.26,31.3467
"S8","30",4.06,5.49,4.29666666666667,21.47,20.83,21.66,20.95,7.53,27.59745
"S8","29",2.92,5.76,3.8,22.67,18.05,23.7,21.67,6.36,20.988
"S9","1",2.05,4.29,4.41333333333333,16.73,16.72,14.68,14.67,6.17,19.21955
"S9","2",3.89,4.52,4.19333333333333,17.05,17.87,NA,17.17,7.37,22.22055
"S9","2",2.44,5.73,4.88666666666667,18.93,19.28,18.23,20.36,7.96,26.6262
"S9","5",3.52,5.26,4.35,19.63,21.12,20.57,20.72,7.33,23.6759
"S9","A",3.64,NA,3.69333333333333,13.13,13.28,14.1,15.89,6.2,16.585
"S9","B",3.25,5.35,4.66,18.53,18.83,19.37,19.93,7.12,23.6384
"S9","B",4.32,4.75,4.37666666666667,17.85,15.8,18.79,18.17,6.32,19.592
