"Population","Mother","Cross_id","Block","Treatment","newseedsize","Germinated"
"PM","01.02x16.03a","PM_2","1B",28,0.102296650717704,0
"PM","01.02x16.03a","PM_2","1B",56,-0.00770334928229679,0
"PM","01.02x16.03a","PM_2","1B",112,-0.0877033492822969,1
"PM","01.01x17.02a","PM_3","2",3.5,-0.0177033492822966,0
"PM","01.01x17.02a","PM_3","2",7,0.0922966507177028,0
"PM","01.01x17.02a","PM_3","2",14,0.0322966507177032,0
"PM","01.01x17.02a","PM_3","2",28,0.0322966507177032,0
"PM","01.01x17.02a","PM_3","2",56,0.002296650717703,0
"PM","01.01x17.02a","PM_3","2",112,-0.00770334928229679,1
"PM","01.02x16.03b","PM_4","2",3.5,-0.037703349282297,0
"PM","01.02x16.03b","PM_4","2",7,0.0322966507177032,0
"PM","01.02x16.03b","PM_4","2",14,-0.147703349282296,0
"PM","01.02x16.03b","PM_4","2",28,0.0122966507177037,0
"PM","01.02x16.03b","PM_4","2",56,0.0122966507177037,0
"PM","01.02x16.03b","PM_4","2",112,0.0822966507177031,1
"PM","16.03x03.01a","PM_5","2",3.5,-0.00770334928229679,0
"PM","16.03x03.01a","PM_5","2",7,-0.0577033492822966,0
"PM","16.03x03.01a","PM_5","2",14,-0.00770334928229679,0
"PM","16.03x03.01a","PM_5","2",28,0.0622966507177035,0
"PM","16.03x03.01a","PM_5","2",56,-0.037703349282297,1
"PM","16.03x03.01a","PM_5","2",112,-0.0177033492822966,1
"PM","03.01x16.03b","PM_6","2",3.5,-0.107703349282296,0
"PM","03.01x16.03b","PM_6","2",7,-0.0477033492822968,0
"PM","03.01x16.03b","PM_6","2",14,-0.107703349282296,0
"PM","03.01x16.03b","PM_6","2",28,-0.0777033492822971,0
"PM","03.01x16.03b","PM_6","2",56,-0.037703349282297,0
"PM","03.01x16.03b","PM_6","2",112,-0.137703349282297,1
"PM","18.03x17.02b","PM_7","2",3.5,-0.0577033492822966,0
"PM","18.03x17.02b","PM_7","2",7,-0.0977033492822967,0
"PM","18.03x17.02b","PM_7","2",14,-0.0577033492822966,0
"PM","18.03x17.02b","PM_7","2",28,-0.037703349282297,0
"PM","18.03x17.02b","PM_7","2",56,-0.0677033492822964,1
"PM","18.03x17.02b","PM_7","2",112,-0.0577033492822966,0
"PM","16.03x03.01a","PM_8","2",3.5,-0.107703349282296,0
"PM","16.03x03.01a","PM_8","2",7,0.0222966507177035,0
"PM","16.03x03.01a","PM_8","2",14,-0.0177033492822966,0
"PM","16.03x03.01a","PM_8","2",28,-0.0277033492822964,0
"PM","16.03x03.01a","PM_8","2",56,0.002296650717703,1
"PM","16.03x03.01a","PM_8","2",112,0.0122966507177037,1
"PM","01.01x17.02b","PM_9","2",3.5,0.0922966507177028,0
"PM","01.01x17.02b","PM_9","2",7,0.0622966507177035,0
"PM","01.01x17.02b","PM_9","2",14,0.122296650717703,0
"PM","01.01x17.02b","PM_9","2",28,0.0322966507177032,0
"PM","01.01x17.02b","PM_9","2",56,0.0622966507177035,0
"PM","01.01x17.02b","PM_9","2",112,0.0222966507177035,1
"PM","16.03x03.01a","PM_10","2",3.5,-0.527703349282297,0
"PM","16.03x03.01a","PM_10","2",7,-0.487703349282297,0
"PM","16.03x03.01a","PM_10","2",14,-0.597703349282297,0
"PM","16.03x03.01a","PM_10","2",28,-0.367703349282297,0
"PM","16.03x03.01a","PM_10","2",56,-0.467703349282297,0
"PM","16.03x03.01a","PM_10","2",112,-0.377703349282297,1
"PM","03.01x16.03b","PM_11","2",3.5,0.0922966507177028,0
"PM","03.01x16.03b","PM_11","2",7,-0.037703349282297,0
"PM","03.01x16.03b","PM_11","2",14,-0.0977033492822967,0
"PM","03.01x16.03b","PM_11","2",28,-0.0777033492822971,0
"PM","03.01x16.03b","PM_11","2",56,-0.107703349282296,1
"PM","03.01x16.03b","PM_11","2",112,0.0722966507177033,1
"PM","01.01x17.02a","PM_12","2",3.5,0.0522966507177028,0
"PM","01.01x17.02a","PM_12","2",7,0.0722966507177033,0
"PM","01.01x17.02a","PM_12","2",14,0.0222966507177035,0
"PM","01.01x17.02a","PM_12","2",28,0.0622966507177035,0
"PM","01.01x17.02a","PM_12","2",56,0.042296650717703,0
"PM","01.01x17.02a","PM_12","2",112,0.0222966507177035,0
"PM","01.02x16.03b","PM_13","2",3.5,-0.0977033492822967,0
"PM","01.02x16.03b","PM_13","2",7,-0.0777033492822971,0
"PM","01.02x16.03b","PM_13","2",14,0.0122966507177037,0
"PM","01.02x16.03b","PM_13","2",28,-0.0677033492822964,0
"PM","01.02x16.03b","PM_13","2",56,0.002296650717703,0
"PM","01.02x16.03b","PM_13","2",112,-0.0277033492822964,1
"PM","03.01x16.03a","PM_14","2B",3.5,0.0322966507177032,0
"PM","03.01x16.03a","PM_14","2B",7,0.122296650717703,0
"PM","03.01x16.03a","PM_14","2B",14,0.0222966507177035,0
"PM","03.01x16.03a","PM_14","2B",28,0.042296650717703,0
"PM","03.01x16.03a","PM_14","2B",56,0.0722966507177033,0
"PM","03.01x16.03a","PM_14","2B",112,0.0722966507177033,1
"PM","03.01x16.03a","PM_15","2B",3.5,0.0622966507177035,0
"PM","03.01x16.03a","PM_15","2B",7,0.0822966507177031,0
"PM","03.01x16.03a","PM_15","2B",14,-0.0477033492822968,0
"PM","03.01x16.03a","PM_15","2B",28,0.042296650717703,0
"PM","03.01x16.03a","PM_15","2B",56,0.132296650717703,1
"PM","03.01x16.03a","PM_15","2B",112,0.112296650717703,0
"PM","01.01x17.02a","PM_16","2B",3.5,0.0722966507177033,0
"PM","01.01x17.02a","PM_16","2B",7,0.042296650717703,0
"PM","01.01x17.02a","PM_16","2B",14,0.0122966507177037,0
"PM","01.01x17.02a","PM_16","2B",28,0.0722966507177033,0
"PM","01.01x17.02a","PM_16","2B",56,0.0822966507177031,1
"PM","01.01x17.02a","PM_16","2B",112,0.0922966507177028,0
"PM","01.01x17.02a","PM_17","2B",3.5,0.242296650717703,0
"PM","01.01x17.02a","PM_17","2B",7,0.102296650717704,0
"PM","01.01x17.02a","PM_17","2B",14,0.102296650717704,0
"PM","01.01x17.02a","PM_17","2B",28,0.0922966507177028,0
"PM","01.01x17.02a","PM_17","2B",56,0.102296650717704,0
"PM","01.01x17.02a","PM_17","2B",112,0.0622966507177035,0
"PM","01.02x16.03b","PM_18","2B",3.5,0.0122966507177037,0
"PM","01.02x16.03b","PM_18","2B",7,0.042296650717703,0
"PM","01.02x16.03b","PM_18","2B",14,-0.0477033492822968,0
"PM","01.02x16.03b","PM_18","2B",28,-0.127703349282297,0
"PM","01.02x16.03b","PM_18","2B",56,-0.0277033492822964,0
