"Eufriesea_atlantica","Eufriesea_auriceps","Eufriesea_dentilabris","Eufriesea_mussitans","Eufriesea_ornata","Eufriesea_smaragdina","Eufriesea_surinamensis","Eufriesea_violacea","Euglossa_adiastola","Euglossa_amazonica","Euglossa_analis","Euglossa_annectans","Euglossa_aratingae","Euglossa_augaspis","Euglossa_augaspula","Euglossa_avicula","Euglossa_bembei","Euglossa_calycina","Euglossa_carolina","Euglossa_chalybeata","Euglossa_clausi","Euglossa_cognata","Euglossa_cordata","Euglossa_crassipunctata","Euglossa_cyanochlora","Euglossa_cybelia","Euglossa_despecta","Euglossa_fimbriata","Euglossa_gaianii","Euglossa_hemichlora","Euglossa_ignita","Euglossa_imperialis","Euglossa_iopoecila","Euglossa_ioprosopa","Euglossa_leucotricha","Euglossa_liopoda","Euglossa_marianae","Euglossa_melanotricha","Euglossa_milenae","Euglossa_mixta","Euglossa_monnei","Euglossa_pepei","Euglossa_perpulchra","Euglossa_pleosticta","Euglossa_roderici","Euglossa_roubiki","Euglossa_sapphirina","Euglossa_securigera","Euglossa_stellfeldi","Euglossa_townsendi","Euglossa_truncata","Euglossa_viridis","Eulaema_atleticana","Eulaema_bombiformis","Eulaema_cingulata","Eulaema_flavescens","Eulaema_marcii","Eulaema_nigrita","Eulaema_niveofasciata","Exaerete_frontalis","Exaerete_smaragdina"
0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,31,2,0,0,6,0,0,0,52,0,0,5,0,0,0
0,0,2,0,2,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0,0,0,15,0,0,10,0,0,0
0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,3,0,0,0,0,0,0,16,0,0,16,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,102,0,0,0,0,0,8,36,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,2,17,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,11,46,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,3,0,0,0,88,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,11,0,0,0,6,0,0,1,0,0,0,0,0,2,45,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,47,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2,14,0,0,0,0,0,0,0,32,38,1,0,0
3,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,1,0,7,0,0,0,0,6,0,0,0,3,0,0,20,0,0,0,2,0,0,0,0,1,0,0,0,2,0,81,0,1,3,0,1,0,0,0,0,0,31,130,2,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,2,2,0,0,0,1,0,0,0,13,34,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1,0,0,0,3,0,0,0,8,15,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,28,0,0,1,0,21,0,0,1,4,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,6,0,0,0,47,76,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,54,0,14,0,0,0,2,0,10,0,0,0,17,39,0,0,0,1,8,0,1,45,0,0,0,0,0,20,0,0,0,0,0,1,22,0,0,0,4,38,14,6,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,27,0,8,0,0,0,0,0,5,0,0,0,4,5,0,0,0,1,4,0,0,5,0,0,0,12,0,1,0,2,0,0,0,0,17,0,0,0,0,13,5,4,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,59,0,16,0,0,0,4,0,71,0,0,0,28,93,0,0,0,1,11,0,0,18,2,0,0,23,0,15,0,1,0,0,0,0,38,0,0,0,5,26,16,4,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,176,0,65,3,0,0,0,0,19,0,0,0,10,30,0,0,0,0,56,0,0,66,2,0,0,19,0,65,0,19,0,0,0,0,0,0,0,0,12,41,7,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,165,0,1,1,0,0,0,0,6,0,0,0,11,16,0,0,0,0,43,0,2,10,0,0,0,2,0,16,0,1,0,0,0,0,3,0,0,0,1,42,2,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,757,0,1,6,0,0,0,0,13,0,0,0,52,63,0,0,0,1,16,0,0,2,1,0,0,11,0,51,0,6,0,0,0,0,1,0,0,0,17,55,3,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,394,0,0,9,0,0,0,0,9,0,0,0,9,42,0,0,0,0,40,0,0,4,2,0,0,2,0,10,0,1,0,0,0,0,1,0,0,0,4,41,0,2,4
1,0,0,0,0,0,11,0,0,0,0,0,0,0,31,4,0,0,240,0,3,9,0,0,0,0,6,0,0,0,23,17,0,0,0,0,59,0,0,52,2,0,0,2,0,14,0,7,0,0,0,0,1,0,0,0,41,48,7,1,5
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,11,0,2,6,0,0,0,0,1,0,0,0,1,9,0,0,0,0,13,0,0,44,0,2,0,0,0,18,0,0,0,0,0,0,3,0,0,0,2,6,4,0,2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,3,3,0,0,0,0,3,0,0,0,5,20,0,0,0,0,10,0,2,19,0,2,0,0,0,10,0,0,0,0,0,0,3,0,0,0,1,9,3,0,2
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,22,0,4,0,0,0,0,0,1,0,0,0,25,65,0,0,0,0,2,0,0,16,0,0,0,0,0,35,0,0,0,0,0,0,9,0,0,0,2,6,11,1,5
