sex	date	hornL	hornR	season	month	day	yr	daynr	age	cohort	mass	density
F	25/11/1984	178	180	1984	11	25	1984	329	11	1973	23.7957	low
F	25/11/1984	160	152	1984	11	25	1984	329	2	1982	21.0319	low
M	25/11/1984	176	178	1984	11	25	1984	329	1	1983	16.4316	low
F	28/11/1984	173	175	1984	11	28	1984	332	10	1974	23.7957	low
F	28/11/1984	172	168	1984	11	28	1984	332	3	1981	20.1113	low
M	28/11/1984	180	180	1984	11	28	1984	332	3	1981	19.1909	low
M	03/12/1984	157	157	1984	12	3	1984	337	1	1983	15.5125	low
M	08/12/1984	183	183	1984	12	8	1984	342	1	1983	23.0000	low
M	12/12/1984	202	208	1984	12	12	1984	346	4	1980	20.1113	low
F	16/12/1984	200	205	1984	12	16	1984	350	7	1977	21.0000	low
M	16/12/1984	235	230	1984	12	16	1984	350	3	1981	22.0000	low
F	20/12/1984	180	190	1984	12	20	1984	354	7	1977	22.8742	low
M	23/12/1984	200	203	1984	12	23	1984	357	1	1983	21.0319	low
M	26/12/1984	222	222	1984	12	26	1984	360	3	1981	15.5125	low
F	27/12/1984	160	160	1984	12	27	1984	361	7	1977	16.0000	low
M	27/12/1984	181	188	1984	12	27	1984	361	2	1982	20.0000	low
M	13/09/1987	240	240	1987	9	13	1987	256	5	1982	31.1759	low
M	13/09/1987	225	223	1987	9	13	1987	256	4	1983	33.9468	low
M	13/09/1987	216	216	1987	9	13	1987	256	4	1983	25.6394	low
M	13/09/1987	213	210	1987	9	13	1987	256	3	1984	26.0000	low
F	13/09/1987	173	170	1987	9	13	1987	256	3	1984	21.9529	low
F	13/09/1987	160	160	1987	9	13	1987	256	2	1985	20.1113	low
M	13/09/1987	193	200	1987	9	13	1987	256	2	1985	23.7957	low
M	13/09/1987	172	173	1987	9	13	1987	256	1	1986	20.0000	low
M	13/09/1987	165	165	1987	9	13	1987	256	1	1986	13.0000	low
F	13/09/1987	143	142	1987	9	13	1987	256	1	1986	20.0000	low
M	13/09/1987	170	168	1987	9	13	1987	256	1	1986	22.0000	low
M	13/09/1987	155	155	1987	9	13	1987	256	1	1986	18.2708	low
M	13/09/1987	173	176	1987	9	13	1987	256	1	1986	21.0319	low
M	15/09/1987	210	208	1987	9	15	1987	258	2	1985	26.5616	low
M	15/09/1987	162	162	1987	9	15	1987	258	1	1986	19.0000	low
M	16/09/1987	236	233	1987	9	16	1987	259	5	1982	30.2526	low
M	16/09/1987	205	208	1987	9	16	1987	259	5	1982	22.8742	low
M	16/09/1987	228	223	1987	9	16	1987	259	3	1984	26.0000	low
M	16/09/1987	140	150	1987	9	16	1987	259	2	1985	26.1005	low
M	16/09/1987	178	174	1987	9	16	1987	259	1	1986	21.0319	low
M	16/09/1987	32	30	1987	9	16	1987	259	0	1987	10.0070	low
M	17/09/1987	208	208	1987	9	17	1987	260	2	1985	23.0000	low
F	17/09/1987	115	120	1987	9	17	1987	260	1	1986	18.2708	low
F	17/09/1987	135	135	1987	9	17	1987	260	1	1986	18.2708	low
M	19/09/1987	208	211	1987	9	19	1987	262	2	1985	21.0319	low
