"pop","mother","crossID","blocktray","timetosowing","MCseed","nseed","germ2"
"CC","CC18","CC18shd","T7_2",155,2.99177489177489,2,1
"CC","CC18","CC18xld","T4_2",146,0.591774891774895,2,1
"CC","CC18","CC18xhd","T9_2",146,0.691774891774897,2,0.5
"CC","CC19","CC19sld","T1_2",127,1.1917748917749,2,1
"CC","CC19","CC19shd","T2_2",125,-2.10822510822511,2,1
"CC","CC19","CC19xld","T5_2",118,-3.8082251082251,2,1
"CC","CC19","CC19xhd","T7_2",135,1.49177489177489,2,1
"CC","CC20","CC20xld","T7_2",151,3.0917748917749,1,1
"CC","CC20","CC20xhd","T2_2",127,2.89177489177489,2,0.5
"CC","CC21","CC21sld","T1_2",136,3.99177489177489,2,1
"CC","CC21","CC21shd","T3_2",134,2.5917748917749,2,1
"CC","CC21","CC21xld","T7_2",151,-0.508225108225106,2,0.5
"CC","CC21","CC21xhd","T5_2",134,2.39177489177489,2,1
"CC","CC22","CC22shd","T2_2",127,-1.9082251082251,2,1
"CC","CC22","CC22xld","T3_2",161,-2.90822510822511,2,1
"CC","CC22","CC22xhd","T5_2",116,-4.2082251082251,2,0
"CC","CC23","CC23sld","T1_2",127,-1.8082251082251,2,1
"CC","CC23","CC23shd","T8_2",135,-2.40822510822511,2,1
"CC","CC23","CC23xld","T6_2",140,1.7917748917749,2,1
"CC","CC23","CC23xhd","T7_2",132,-2.7082251082251,2,1
"CC","CC24","CC24sld","T1_2",146,1.7917748917749,2,0
"CC","CC24","CC24shd","T8_2",147,-0.00822510822510628,2,0
"CC","CC24","CC24xld","T1_2",153,3.7917748917749,2,0.5
"CC","CC24","CC24xhd","T6_2",156,6.5917748917749,2,1
"CC","CC25","CC25sld","T3_2",118,-7.4082251082251,2,1
"CC","CC25","CC25shd","T2_2",136,-2.10822510822511,2,1
"CC","CC25","CC25xld","T4_2",137,-2.00822510822511,2,1
"CC","CC25","CC25xhd","T2_2",165,-3.10822510822511,2,1
"CC","CC26","CC26sld","T9_2",149,-0.708225108225102,2,0
"CC","CC26","CC26shd","T1_2",140,2.1917748917749,2,0
"CC","CC26","CC26xld","T6_2",140,0.691774891774897,2,1
"CC","CC26","CC26xhd","T6_2",160,0.891774891774892,2,1
"CC","CC27","CC27sld","T3_2",157,2.99177489177489,2,1
"CC","CC27","CC27shd","T6_2",160,-0.408225108225105,2,0.5
"CC","CC27","CC27xld","T7_2",160,-0.00822510822510628,2,1
"CC","CC27","CC27xhd","T3_2",127,2.6917748917749,2,1
"CC","CC28","CC28sld","T9_2",127,3.2917748917749,2,1
"CC","CC28","CC28shd","T7_2",127,2.6917748917749,2,1
"CC","CC28","CC28xld","T3_2",147,-3.10822510822511,2,1
"CC","CC28","CC28xhd","T7_2",147,-2.3082251082251,2,1
"CC","CC29","CC29sld","T4_2",141,-1.00822510822511,2,1
"CC","CC29","CC29shd","T6_2",130,-0.508225108225106,2,1
"CC","CC29","CC29xld","T6_2",127,0.991774891774894,2,1
"CC","CC29","CC29xhd","T7_2",134,-2.3082251082251,2,1
"CC","CC30","CC30shd","T7_2",158,1.5917748917749,2,0
"CC","CC30","CC30xld","T2_2",163,1.0917748917749,2,1
"CC","CC30","CC30xhd","T7_2",119,-4.10822510822511,2,1
